127.0.0.1 - - [03/Apr/2017:19:28:03 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:28:06 +0200] "GET /groenetenen/ HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:28:06 +0200] "GET /groenetenen/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:28:06 +0200] "GET /groenetenen/images/ochtend.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:28:09 +0200] "GET /groenetenen/filialen HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:28:11 +0200] "GET /groenetenen/filialen/1 HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:28:21 +0200] "GET /groenetenen/filialen/1 HTTP/1.1" 200 1449
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:28:21 +0200] "GET /groenetenen/styles/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:48:40 +0200] "GET /groenetenen/filialen/1 HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:48:40 +0200] "GET /groenetenen/images/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:48:51 +0200] "GET /groenetenen/filialen HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [03/Apr/2017:19:48:52 +0200] "GET /groenetenen/filialen/2 HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [03/Apr/2017:20:43:10 +0200] "GET /groenetenen/filialen HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [03/Apr/2017:20:43:12 +0200] "GET /groenetenen/filialen/1 HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [03/Apr/2017:20:43:13 +0200] "POST /groenetenen/filialen/1/verwijderen HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2017:20:43:13 +0200] "GET /groenetenen/filialen/1?fout=Filiaal+heeft+nog+werknemers HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [03/Apr/2017:20:43:19 +0200] "GET /groenetenen/filialen HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [03/Apr/2017:20:43:21 +0200] "GET /groenetenen/filialen/2 HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [03/Apr/2017:20:43:21 +0200] "POST /groenetenen/filialen/2/verwijderen HTTP/1.1" 302 -
